index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,7,690.0,7.523260831832886,673.0,0.6664340496063232,17.0
2,1,588.0,8.769562005996704,573.0,0.5832297801971436,15.0
3,0,783.0,0.4886598587036133,783.0,0.46762871742248535,0.0
4,4,656.0,7.697211980819702,642.0,0.5073659420013428,14.0
5,1,673.0,7.438499212265015,657.0,0.5620667934417725,16.0
6,4,398.0,9.944397211074829,389.0,0.5685560703277588,13.0
8,5,0.0,0.4234342575073242,0.0,0.42392992973327637,0.0
9,9,545.0,7.963896036148071,538.0,0.5172379016876221,7.0
11,6,672.0,8.925952911376953,640.0,0.5666937828063965,32.0
14,1,746.0,5.569894075393677,738.0,0.5058779716491699,8.0
17,7,723.0,5.9774229526519775,713.0,0.5030262470245361,10.0
18,3,659.0,7.280452013015747,642.0,0.5164659023284912,17.0
19,4,617.0,8.8733811378479,597.0,0.5108301639556885,20.0
22,6,580.0,8.004663944244385,561.0,0.5148658752441406,19.0
23,5,783.0,0.48455190658569336,783.0,0.44345998764038086,0.0
24,4,274.0,2.591665029525757,275.0,0.4680659770965576,0.0
25,0,783.0,0.44750404357910156,783.0,0.45458507537841797,0.0
26,7,686.0,7.36728310585022,667.0,0.49589991569519043,19.0
28,0,783.0,0.4694252014160156,783.0,0.4710216522216797,0.0
29,1,361.0,8.59665298461914,352.0,0.5317990779876709,17.0
30,3,765.0,5.600306987762451,758.0,0.5140728950500488,7.0
31,1,396.0,10.007310152053833,390.0,0.5246500968933105,9.0
32,3,750.0,6.337367057800293,742.0,0.5883467197418213,8.0
33,4,714.0,6.561079025268555,703.0,0.5148892402648926,11.0
35,2,774.0,5.256679058074951,770.0,0.741447925567627,4.0
38,2,238.0,2.6937549114227295,239.0,0.5202510356903076,0.0
40,1,207.0,2.0908219814300537,208.0,0.4326317310333252,0.0
41,7,651.0,8.072173118591309,631.0,0.5439877510070801,20.0
42,4,524.0,7.701575994491577,519.0,0.5454010963439941,5.0
43,2,783.0,0.5019969940185547,783.0,0.46311306953430176,0.0
44,3,702.0,7.696830987930298,671.0,0.5084259510040283,31.0
45,5,721.0,6.844592094421387,708.0,0.5730998516082764,13.0
46,1,583.0,8.585166692733765,557.0,0.555056095123291,26.0
48,4,723.0,6.20074987411499,721.0,0.5138781070709229,2.0
50,6,606.0,7.412379741668701,574.0,0.5151898860931396,32.0
53,5,713.0,6.916752815246582,689.0,0.49900102615356445,24.0
54,6,654.0,7.055395841598511,633.0,0.48969507217407227,21.0
55,0,307.0,2.2603578567504883,308.0,0.40271925926208496,0.0
57,1,577.0,8.128211975097656,556.0,0.519550085067749,21.0
58,9,758.0,5.451440334320068,751.0,0.4936490058898926,7.0
59,5,650.0,9.248610019683838,628.0,0.50732421875,22.0
60,7,683.0,7.187927961349487,671.0,0.4994220733642578,12.0
61,8,350.0,3.9041049480438232,351.0,0.4666318893432617,1.0
64,7,754.0,5.342612981796265,750.0,0.5210602283477783,4.0
65,4,89.0,1.174187183380127,90.0,0.4118170738220215,0.0
67,4,719.0,6.192684173583984,709.0,0.545764684677124,10.0
68,3,783.0,0.4635899066925049,783.0,0.4488241672515869,0.0
70,7,772.0,5.023652076721191,770.0,0.48933982849121094,2.0
72,2,738.0,6.160579681396484,727.0,0.49817800521850586,11.0
75,7,713.0,6.069749116897583,698.0,0.48963403701782227,15.0
76,3,641.0,6.9794440269470215,627.0,0.5248887538909912,14.0
77,2,685.0,6.57181715965271,684.0,0.6131253242492676,1.0
78,9,228.0,2.873305082321167,227.0,0.489149808883667,10.0
79,7,783.0,0.49659013748168945,783.0,0.47644495964050293,0.0
80,7,107.0,1.2249557971954346,108.0,0.4556701183319092,0.0
83,7,720.0,7.156969785690308,709.0,0.537717342376709,11.0
84,8,262.0,2.2858922481536865,263.0,0.4579288959503174,0.0
85,4,779.0,4.271024942398071,778.0,0.5417768955230713,1.0
86,7,716.0,6.395290851593018,708.0,0.5418350696563721,8.0
87,3,580.0,8.134582042694092,578.0,0.5262730121612549,2.0
89,1,706.0,6.734655141830444,693.0,0.5166492462158203,13.0
92,9,122.0,1.3957619667053223,123.0,0.44324517250061035,0.0
94,1,656.0,7.017369031906128,648.0,0.5351629257202148,8.0
96,1,275.0,3.914883613586426,276.0,0.46077799797058105,0.0
97,7,734.0,5.655194997787476,729.0,0.5688908100128174,5.0
98,6,624.0,6.560689210891724,608.0,0.5227642059326172,16.0
99,9,767.0,4.88496208190918,766.0,0.46369099617004395,1.0
