index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,7,568.0,9.526059865951538,558.0,0.4443352222442627,10.0
1,2,357.0,3.815556049346924,357.0,0.36075901985168457,1.0
2,1,83.0,1.9830002784729004,83.0,0.3535888195037842,0.0
4,4,286.0,5.113872289657593,274.0,0.3603551387786865,35.0
5,1,121.0,1.5597498416900635,121.0,0.3332359790802002,0.0
6,4,355.0,12.108191013336182,332.0,0.437532901763916,34.0
8,5,0.0,0.32747483253479004,0.0,0.34629178047180176,0.0
9,9,579.0,9.821706056594849,569.0,0.41451025009155273,10.0
10,0,690.0,8.79080605506897,675.0,0.4274170398712158,15.0
11,6,306.0,3.314272880554199,304.0,0.3576672077178955,6.0
13,0,757.0,6.199233055114746,748.0,0.40607595443725586,9.0
14,1,163.0,1.6332149505615234,163.0,0.31139111518859863,0.0
15,5,474.0,8.821168899536133,465.0,0.43813300132751465,11.0
16,9,358.0,4.9855687618255615,350.0,0.379561185836792,20.0
17,7,555.0,8.42873501777649,549.0,0.42908477783203125,6.0
18,3,0.0,0.3247549533843994,0.0,0.3383469581604004,0.0
19,4,340.0,13.11180591583252,323.0,0.4358961582183838,42.0
20,9,89.0,1.4088571071624756,89.0,0.3395540714263916,0.0
21,6,483.0,13.127553939819336,456.0,0.4442899227142334,27.0
22,6,83.0,0.840907096862793,83.0,0.30698585510253906,0.0
23,5,560.0,9.091017007827759,552.0,0.45109105110168457,8.0
24,4,121.0,2.030658006668091,121.0,0.31183505058288574,0.0
25,0,782.0,4.106000185012817,781.0,0.36626386642456055,1.0
26,7,355.0,4.598758935928345,349.0,0.34731101989746094,16.0
28,0,754.0,6.4933600425720215,744.0,0.4063708782196045,10.0
29,1,97.0,1.3161580562591553,97.0,0.3266181945800781,0.0
30,3,725.0,6.918325901031494,700.0,0.38571691513061523,25.0
31,1,73.0,0.9303278923034668,73.0,0.30791497230529785,0.0
32,3,723.0,7.385098934173584,714.0,0.3893911838531494,9.0
33,4,0.0,0.3023099899291992,0.0,0.30178022384643555,0.0
34,7,566.0,9.321765899658203,539.0,0.40083885192871094,27.0
35,2,621.0,8.3838529586792,596.0,0.3892710208892822,25.0
36,7,515.0,9.550665855407715,502.0,0.39426469802856445,13.0
37,1,136.0,1.55958890914917,136.0,0.31125473976135254,0.0
38,2,75.0,1.1986448764801025,75.0,0.3026771545410156,0.0
39,1,261.0,2.8893511295318604,260.0,0.3291451930999756,14.0
40,1,71.0,0.9681217670440674,71.0,0.3025369644165039,0.0
41,7,128.0,1.4398837089538574,128.0,0.309128999710083,0.0
42,4,372.0,7.16749906539917,354.0,0.3930180072784424,37.0
