index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,1,921,16.683906078338623,921,3.9715030193328857,0
5,3,883,13.73287796974182,877,4.129894018173218,6
6,6,126,8.237709045410156,126,6.005340337753296,0
7,9,991,8.699915170669556,991,4.8129119873046875,0
9,6,798,17.715919017791748,781,5.294573068618774,17
10,9,579,19.290966033935547,578,4.833647966384888,1
12,2,726,16.897499084472656,722,5.389156103134155,4
13,5,857,23.093562126159668,857,8.080676794052124,0
14,9,492,7.644918918609619,492,6.406216859817505,0
15,7,1023,3.47373628616333,1023,1.1534957885742188,0
17,3,1001,6.155182123184204,999,2.6188220977783203,2
18,3,926,12.610877752304075,917,3.677915096282959,9
19,8,700,6.813049793243408,700,6.204076051712036,0
21,8,407,7.226511001586914,407,6.052513122558594,0
23,9,561,7.0389487743377686,561,6.555746078491211,0
25,7,838,20.4688777923584,839,6.654376268386841,-1
27,4,178,20.428282976150513,178,5.480162620544434,0
28,5,96,14.708552837371826,97,14.956067085266112,-1
29,6,818,15.062394857406616,804,5.647194862365723,14
30,9,277,6.980112075805664,277,6.009116888046265,0
32,0,288,11.844583988189695,288,7.119713068008423,0
33,7,686,20.724145889282227,686,5.6100380420684814,0
34,8,756,25.5496609210968,757,8.079038858413696,-1
35,7,776,22.729074001312256,776,9.958048105239868,0
36,3,962,9.19706892967224,961,3.1325390338897705,1
37,1,976,9.729268312454224,975,3.83899188041687,1
38,5,1012,4.934360980987549,1012,1.9144346714019775,0
39,8,429,6.248207092285156,429,5.750510215759277,0
40,8,434,6.61510705947876,434,5.900246858596802,0
41,8,897,19.444298028945923,896,8.489410877227783,1
45,0,968,12.266620874404907,968,2.8105149269104004,0
47,4,950,11.0161612033844,945,3.790029764175415,5
48,9,881,13.124492645263672,879,4.76298975944519,2
51,7,88,16.808152198791504,88,5.074480056762695,0
52,6,969,8.140607118606567,969,2.4289608001708984,0
54,6,623,19.48874282836914,657,6.242560148239136,-34
59,1,76,8.271109104156494,76,6.616995811462402,0
60,0,811,18.29323101043701,811,4.866118907928467,0
61,5,946,12.57800817489624,946,3.7801032066345215,0
62,5,1022,2.5374209880828857,1022,1.4823787212371826,0
63,1,980,8.412090063095093,978,3.6904819011688232,2
65,5,980,9.1526780128479,981,3.6384592056274414,-1
66,0,977,9.306172847747805,977,3.2288060188293457,0
68,6,372,7.785321950912476,372,6.848519802093506,0
69,8,506,6.665366888046265,506,5.908847808837891,0
70,0,884,13.120463132858276,884,5.0802600383758545,0
73,6,101,7.376649141311645,101,6.340430021286011,0
75,6,853,14.188711166381836,846,5.241077899932861,7
76,8,569,7.621603965759277,569,6.486082077026367,0
80,4,622,20.389456033706665,608,6.292285203933716,14
82,1,889,13.032265901565552,886,4.255122184753418,3
84,0,1017,4.181093215942383,1017,1.843228101730347,0
85,6,378,7.3449790477752686,378,6.280582904815674,0
88,1,978,8.853358030319214,977,3.347027063369751,1
89,5,933,14.801552772521973,933,4.1982340812683105,0
90,5,22,7.142274856567383,22,5.962632894515991,0
91,3,704,19.84898686408997,694,5.920825242996216,10
95,9,186,6.6390557289123535,186,5.4748828411102295,0
96,6,575,22.212026834487915,583,6.907075881958008,-8
97,1,891,13.63917589187622,890,4.7844390869140625,1
98,9,810,14.916924715042114,808,4.564131021499634,2
99,0,939,12.186752080917358,940,4.463964223861694,-1
