index,label,milp_size,milp_time,greedy_size,greedy_time,greedy_2_milp
0,5,390,12.787593841552734,390,10.930169105529783,0
2,4,538,13.405864000320436,543,7.719366073608398,-5
4,9,639,16.46303677558899,653,5.640568017959595,-14
5,2,551,15.423431158065796,563,8.76680302619934,-12
6,1,511,19.292429208755493,512,12.806599140167236,-1
8,1,488,20.10177779197693,492,17.978888988494873,-4
9,4,516,16.94764804840088,553,9.392837047576904,-37
11,5,645,21.209542989730835,643,7.879698991775513,2
13,6,613,14.000219106674194,614,7.523254871368408,-1
14,1,518,19.404025077819824,531,16.539637088775635,-13
15,7,628,13.212522029876707,639,8.097614049911499,-11
16,2,541,12.589203834533691,542,8.862049102783203,-1
17,8,609,13.982344150543211,611,7.531534194946289,-2
18,6,365,18.37874722480774,372,19.663353204727173,-7
19,9,437,14.999685764312744,432,11.036423921585085,5
20,4,663,16.28605079650879,665,6.200773000717163,-2
21,0,754,8.790008068084717,762,1.4539830684661863,-8
22,9,448,16.63321805000305,454,9.976076126098633,-6
23,1,462,15.26810598373413,475,10.050349950790403,-13
24,1,100,8.008565902709961,100,6.778146028518677,0
25,2,549,13.051307916641235,565,3.8592798709869385,-16
26,4,433,15.418030977249146,436,10.20882797241211,-3
28,2,500,13.27591609954834,520,9.335339069366457,-20
29,7,439,17.462626934051514,442,14.918221235275269,-3
30,3,585,12.909423828125,590,7.493437051773071,-5
31,8,453,15.544458866119385,456,13.714389085769652,-3
32,6,585,15.338580131530762,582,11.2853262424469,3
33,9,261,25.82874608039856,290,32.99077796936035,-29
34,0,671,11.761773824691772,690,3.722614049911499,-19
35,5,601,13.702948093414308,601,8.9912748336792,0
36,6,610,14.418374061584473,611,8.905003070831299,-1
37,0,744,10.076412200927734,750,2.46750807762146,-6
38,7,517,13.463458061218262,517,8.954387903213501,0
39,6,588,16.219276189804077,584,8.532481908798218,4
40,1,531,16.14101505279541,533,12.367388248443604,-2
41,8,555,13.914408922195436,557,9.442336082458496,-2
42,7,512,15.674574136734009,520,14.715197324752808,-8
43,9,493,14.894967794418337,496,7.100710153579712,-3
44,3,685,13.611470937728882,695,4.8741888999938965,-10
45,9,675,13.408057689666748,675,5.028965950012207,0
46,8,516,15.164920091629028,520,12.24170184135437,-4
47,5,757,8.833208799362183,757,3.059580087661743,0
48,9,123,5.294771909713745,123,4.181671857833862,0
49,3,755,7.376828908920288,778,1.275871992111206,-23
50,3,637,17.378943920135498,637,6.370045185089111,0
51,0,754,6.99874210357666,769,0.9301061630249025,-15
52,7,714,9.20835304260254,728,2.2130391597747803,-14
53,4,394,20.20537304878235,392,13.281209945678713,2
54,9,525,15.174675941467283,530,9.4394690990448,-5
55,8,457,14.365675926208496,459,10.880345821380615,-2
57,9,584,13.45370888710022,595,7.779920816421509,-11
58,4,653,14.025261878967283,651,4.153855085372925,2
59,1,488,17.631258010864258,495,15.13821005821228,-7
60,4,631,16.22036910057068,624,6.607931852340698,7
61,4,532,15.141721963882446,537,8.720777988433838,-5
62,6,596,17.31586003303528,594,6.405436992645264,2
63,0,707,12.366844892501833,707,2.9602959156036377,0
64,4,506,13.778095960617064,517,8.807817935943604,-11
65,5,755,10.714767217636108,750,3.5103538036346436,5
66,6,710,13.519794940948486,711,3.8039588928222656,-1
67,1,515,17.37757396697998,515,9.565579891204834,0
68,0,482,16.012461185455322,490,10.335541009902954,-8
69,0,727,10.773462057113647,718,2.980665922164917,9
70,1,194,10.167346239089966,194,7.189087390899658,0
71,7,567,13.024081230163574,568,9.954927206039429,-1
72,1,502,19.631201028823853,472,20.20993399620056,30
73,6,544,13.219998359680176,545,9.331302881240845,-1
74,3,740,8.844888925552368,740,2.541440010070801,0
75,0,552,16.681980848312378,563,6.390365839004517,-11
76,2,614,13.25113296508789,614,8.290728092193604,0
77,1,541,14.097902059555054,539,10.352244853973389,2
78,1,437,20.946603059768677,440,15.365594863891602,-3
79,7,472,14.712285041809082,474,12.63846206665039,-2
80,9,164,5.2254798412323,164,4.014265775680542,0
81,0,628,11.506792068481444,628,1.8624188899993896,0
82,2,754,7.180440187454224,755,1.4014852046966553,-1
83,6,521,18.32148504257202,523,17.121730089187622,-2
84,7,541,13.038445949554443,549,6.547675848007202,-8
85,8,349,17.101367950439453,379,23.586023092269897,-30
86,3,625,17.125999927520752,626,6.258485794067383,-1
87,9,648,14.863595962524414,649,5.631422996520996,-1
89,4,697,16.367558002471924,694,5.34236478805542,3
90,6,751,12.908445119857788,746,3.760335922241211,5
91,7,663,15.61871886253357,664,5.379101037979126,-1
92,4,490,17.47770595550537,495,8.801607847213745,-5
93,6,539,14.615273237228394,544,10.019114971160889,-5
94,8,624,14.48299503326416,626,9.11213517189026,-2
95,0,754,7.068120956420898,754,1.252213954925537,0
96,7,588,12.878635168075562,592,7.790850877761841,-4
97,8,610,13.056108951568604,611,6.138185024261475,-1
98,3,749,9.038540124893188,746,2.446932792663574,3
99,1,214,21.83585500717163,268,31.12792992591858,-54
