index,time,size
3,56.218605041503906,24
6,196.16313219070437,391
7,68.60651421546936,25
9,244.9251298904419,517
10,342.5871801376343,377
12,294.6796553134918,786
13,117.02018809318542,166
14,136.13971209526062,215
15,189.85863184928897,202
17,103.99568581581116,85
18,121.00423192977904,188
19,69.0885078907013,90
21,176.93757510185242,297
23,296.21326780319214,736
25,290.87754583358765,347
26,144.1602602005005,68
27,163.4855420589447,153
28,321.56643295288086,412
29,145.04425287246704,218
30,241.41413497924805,937
32,228.4119429588318,498
33,63.99158000946045,4
34,209.7460401058197,416
35,202.763032913208,371
36,157.57894611358645,287
37,89.04200506210327,80
39,270.56781911849976,691
40,169.58052396774292,173
41,278.510507106781,277
45,95.36006689071657,94
47,180.07684683799744,356
48,204.69003176689148,393
51,304.81348609924316,849
54,241.8386480808258,516
59,259.4927308559418,700
61,92.41382241249084,118
63,102.68130874633788,114
65,111.2950792312622,40
66,123.8321931362152,136
68,208.52540802955627,461
69,315.15264892578125,760
70,153.9708607196808,263
71,54.83447980880737,1
73,296.22546768188477,846
75,96.49013304710388,119
76,181.85995316505432,362
80,217.09941506385803,396
82,266.6186378002167,542
84,58.756494998931885,10
85,67.30730819702148,33
86,114.96466398239136,85
87,67.0772762298584,93
89,260.06222009658813,597
90,291.7931492328644,866
94,278.439569234848,513
95,254.8326358795166,456
96,242.22635293006897,534
97,87.52368688583374,77
98,297.10542273521423,554
99,184.3597087860107,382
