index,time,size
0,20.35963487625122,541
1,2.4523391723632812,19
2,19.383380889892575,297
3,12.355432033538818,318
4,9.211858034133911,208
5,18.272428035736084,288
6,18.878406286239624,296
8,19.484702825546265,313
9,11.61469292640686,300
10,2.9580588340759277,13
11,21.524096965789795,219
13,10.112166166305542,251
14,12.000959873199465,289
15,7.73432183265686,190
16,12.703329086303713,348
17,11.687419891357422,265
18,17.592895030975342,519
19,14.773478746414185,400
20,15.151789903640749,208
21,5.514269113540649,69
22,27.955525875091553,437
23,12.181908130645752,327
24,29.858428955078125,494
25,14.773393869400024,403
26,23.069248914718628,390
28,15.559848308563232,434
29,14.549368143081663,395
30,18.392333269119263,234
31,15.460899829864502,425
32,16.17738699913025,252
33,19.339141130447388,599
34,13.230519771575928,162
35,9.7660653591156,248
36,15.761456966400146,239
37,5.971588134765625,106
38,12.227478742599487,335
39,10.380311965942385,258
40,19.569358825683594,296
41,11.615428924560549,298
42,10.6879460811615,282
43,15.080620050430298,398
44,9.258652210235596,208
45,14.472965955734251,162
46,14.59494972229004,382
47,3.983725070953369,61
48,31.443499088287354,513
49,4.35631799697876,57
50,10.92991304397583,263
51,3.8378920555114746,50
52,8.668998956680298,95
53,15.88067102432251,452
54,17.655576944351196,410
55,15.393754005432127,421
57,12.46948766708374,301
58,10.159826040267944,242
59,12.289371967315674,332
60,9.193618059158323,200
61,11.599161863327026,298
62,10.89357614517212,287
63,7.874208688735962,148
64,13.931473970413208,380
65,10.94687008857727,83
66,10.603075981140137,137
67,19.573916912078857,301
68,26.223133087158203,322
69,9.820299863815308,126
70,21.362285137176514,566
71,11.220158338546751,282
72,21.084322929382324,315
73,12.157150268554688,313
74,9.070693016052246,97
75,13.575771808624268,348
76,9.798989057540894,234
77,12.061838150024414,285
78,14.850403785705566,400
79,15.113135814666748,399
80,29.25059509277344,429
81,20.996075868606567,220
82,4.984726190567017,51
83,11.624380111694336,307
84,13.362929105758669,358
85,15.11424207687378,436
86,11.711504936218262,275
87,12.331279754638672,294
89,17.77643895149231,135
90,8.543327808380127,76
91,8.04576587677002,173
92,13.509663105010986,353
93,36.41358304023743,311
94,15.047558784484863,226
95,4.049762010574341,49
96,8.583055019378662,205
97,10.257884979248049,261
98,6.402293920516968,84
99,18.165893077850345,539
