index,time,size
0,21.41200304031372,117
5,27.608685731887817,159
6,113.98057699203493,867
7,12.05957818031311,37
9,45.314380168914795,255
10,70.95486903190613,489
12,49.55852794647217,327
13,30.01565909385681,173
14,51.49521994590759,347
15,7.942071914672852,1
17,14.16416621208191,32
18,23.70469665527344,117
19,13.78466796875,58
21,70.75524401664734,480
23,34.46494483947754,212
25,99.4589910507202,215
27,126.97822308540344,897
28,133.4674608707428,959
29,38.8635687828064,246
30,180.43634223937988,689
32,121.47693634033205,818
33,58.92599558830261,360
34,78.92883515357971,278
35,48.775349855422974,262
36,19.617379903793335,77
37,13.176177024841309,59
38,9.686661005020142,13
39,63.33672618865967,430
40,65.94313716888428,432
41,22.354542016983032,126
45,17.28220295906067,69
47,30.477886199951172,91
48,31.177433013916016,160
51,125.4341790676117,974
52,17.253559112548828,70
54,62.135822772979736,384
59,122.7983169555664,926
60,44.86834001541138,247
61,18.679358959198,93
62,7.436355113983154,2
63,19.768231868743896,55
65,15.372303009033203,40
66,14.965537071228027,50
68,93.85379195213318,592
69,46.98804497718811,279
70,26.779775857925415,158
73,118.72964882850648,911
75,33.350210189819336,197
76,34.04754400253296,204
80,66.71375298500061,450
82,26.939280033111572,159
84,7.150652170181274,7
85,81.35172915458679,519
88,21.606235027313232,56
89,21.314441919326782,105
90,134.2030689716339,995
91,138.78186702728271,346
95,109.17148113250732,810
96,239.6171431541443,475
97,27.561646938323975,145
98,39.400630950927734,237
99,19.353710651397705,94
